student_name,course_year,student_note,academic_score,anatomy_score,physiology_score,surgery_interest,cardiology_interest,neurology_interest,ent_interest,manual_dexterity,stress_tolerance,empathy,analytical_thinking,communication_skill,research_orientation,night_shift_readiness,cardiovascular_endurance,auditory_attention,precision_focus,predicted_specialty_key,predicted_specialty,confidence
Никита Жуков #3180,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,95,78,91,1,5,9,3,3,9,7,10,6,10,3,5,8,7,neurology,Невролог,0.5747
Павел Громов #3181,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,90,82,10,5,5,3,8,7,6,6,6,6,8,6,6,10,surgery,Хирург,0.5152
Никита Жуков #3182,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,87,80,93,2,7,7,3,4,6,7,10,9,7,3,5,6,8,neurology,Невролог,0.4369
Ирина Белова #3183,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,86,84,87,2,5,4,7,6,9,9,6,10,7,8,5,8,8,otolaryngology,Отоларинголог,0.3942
Татьяна Максимова #3184,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,88,81,98,6,8,9,3,5,7,8,8,7,10,8,7,6,7,neurology,Невролог,0.4228
Софья Романова #3185,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,88,76,100,2,7,7,4,7,10,8,10,9,9,6,8,3,10,neurology,Невролог,0.413
Георгий Савельев #3186,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,86,89,84,8,6,3,3,10,10,3,5,3,5,8,10,3,10,surgery,Хирург,0.6954
Михаил Соколов #3187,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,88,93,82,9,7,2,5,10,7,7,6,6,4,9,8,5,9,surgery,Хирург,0.5539
Татьяна Максимова #3188,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,89,83,88,5,7,7,0,8,10,7,9,7,7,5,6,6,9,neurology,Невролог,0.3574
Софья Романова #3189,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,88,79,96,3,8,9,4,7,6,9,8,9,7,9,10,6,6,cardiology,Кардиолог,0.4059
Елена Смирнова #3190,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,95,83,100,1,7,9,2,8,8,9,8,7,8,7,6,4,7,neurology,Невролог,0.4403
Георгий Савельев #3191,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,96,81,10,5,2,0,8,10,6,7,6,5,7,10,6,8,surgery,Хирург,0.6097
Татьяна Максимова #3192,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,95,85,90,6,7,10,4,5,6,10,8,10,7,5,9,3,6,neurology,Невролог,0.3953
Михаил Соколов #3193,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,92,98,82,8,8,4,2,9,7,6,8,6,4,9,10,3,8,surgery,Хирург,0.5245
Михаил Соколов #3194,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,91,98,87,8,6,6,5,8,8,7,7,6,5,9,8,2,7,surgery,Хирург,0.4635
Георгий Савельев #3195,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,89,89,80,9,4,3,4,7,10,3,5,6,2,10,10,3,10,surgery,Хирург,0.7158
Софья Романова #3196,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,89,84,94,4,7,8,3,4,7,8,7,10,6,5,8,7,10,neurology,Невролог,0.3597
Елена Смирнова #3197,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,92,78,95,1,5,10,1,5,6,9,8,5,9,6,8,6,8,neurology,Невролог,0.5548
Павел Громов #3198,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,88,91,77,7,7,3,1,10,7,7,6,4,4,7,10,2,9,surgery,Хирург,0.5628
Павел Громов #3199,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,88,96,89,7,3,4,0,8,8,6,7,3,5,8,6,4,8,surgery,Хирург,0.5252
Михаил Соколов #3200,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,87,97,90,8,8,4,1,9,7,4,6,5,3,9,7,3,10,surgery,Хирург,0.6023
Елена Смирнова #3201,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,93,79,88,2,5,8,3,8,5,9,8,5,7,7,8,6,9,neurology,Невролог,0.4093
Алина Назарова #3202,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,97,85,99,3,7,5,2,5,8,6,8,10,6,9,10,6,10,cardiology,Кардиолог,0.3929
Анна Котова #3203,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,86,90,80,7,4,2,4,10,9,4,7,4,3,9,10,7,8,surgery,Хирург,0.6155
Никита Жуков #3204,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,87,83,86,4,8,9,2,6,6,8,8,6,8,4,7,7,9,neurology,Невролог,0.4348
Никита Жуков #3205,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,93,84,97,3,8,7,4,6,5,6,10,9,9,5,3,4,10,neurology,Невролог,0.4836
Елена Смирнова #3206,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,93,77,98,2,6,10,4,4,8,7,10,8,7,6,8,8,8,neurology,Невролог,0.4775
Кирилл Федоров #3207,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,83,93,79,7,4,5,6,7,9,6,8,6,5,10,8,9,8,surgery,Хирург,0.4139
Ольга Демина #3208,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,81,83,84,6,3,6,7,6,4,10,4,10,4,7,6,9,9,otolaryngology,Отоларинголог,0.4822
Софья Романова #3209,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,85,100,5,7,9,2,8,6,8,8,10,9,5,8,4,8,neurology,Невролог,0.4188
Павел Громов #3210,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,86,86,86,8,6,6,3,7,9,4,6,3,2,10,6,6,10,surgery,Хирург,0.5725
Михаил Соколов #3211,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,92,87,82,8,6,2,3,9,7,6,7,8,4,9,10,5,9,surgery,Хирург,0.5291
Кирилл Федоров #3212,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,85,93,88,7,3,3,7,10,7,7,7,10,6,4,5,8,7,otolaryngology,Отоларинголог,0.4375
Татьяна Максимова #3213,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,91,80,84,3,8,7,1,8,10,9,9,9,8,5,8,7,9,cardiology,Кардиолог,0.3839
Татьяна Максимова #3214,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,87,85,89,4,9,10,3,6,6,10,7,9,10,5,9,3,6,cardiology,Кардиолог,0.413
Елена Смирнова #3215,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,91,82,97,3,7,7,2,4,5,9,10,7,7,6,5,7,9,neurology,Невролог,0.4535
Татьяна Максимова #3216,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,81,96,2,6,10,3,6,6,10,8,9,10,8,7,3,9,neurology,Невролог,0.543
Алина Назарова #3217,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,97,78,98,6,9,6,2,7,9,8,9,10,6,8,8,6,9,cardiology,Кардиолог,0.4182
Анна Котова #3218,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,88,92,81,10,5,6,4,8,8,4,5,4,6,9,9,6,10,surgery,Хирург,0.6366
Кирилл Федоров #3219,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,83,85,81,5,3,6,9,8,9,7,5,10,5,5,8,9,9,otolaryngology,Отоларинголог,0.4873
Дмитрий Орлов #3220,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,91,81,85,4,9,4,0,5,9,10,9,8,8,5,8,4,8,cardiology,Кардиолог,0.5201
Кирилл Федоров #3221,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,87,92,88,5,4,7,7,9,8,5,9,9,5,6,8,10,9,otolaryngology,Отоларинголог,0.371
Кирилл Федоров #3222,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,85,88,89,3,3,6,8,7,7,6,9,10,5,5,5,8,6,otolaryngology,Отоларинголог,0.3961
Никита Жуков #3223,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,92,79,92,3,5,10,1,6,5,8,8,8,10,4,4,7,9,neurology,Невролог,0.6041
Мария Тихонова #3224,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,86,84,85,4,2,6,9,7,5,8,8,10,3,4,5,10,8,otolaryngology,Отоларинголог,0.5515
Михаил Соколов #3225,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,85,94,85,7,8,3,4,8,8,7,5,4,6,7,9,5,10,surgery,Хирург,0.4589
Мария Тихонова #3226,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,83,89,77,1,4,6,8,6,4,9,6,10,2,7,5,10,10,otolaryngology,Отоларинголог,0.5803
Никита Жуков #3227,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,89,77,95,4,8,10,4,7,5,5,10,6,8,7,7,7,7,neurology,Невролог,0.4465
Кирилл Федоров #3228,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,81,94,81,5,2,6,9,6,8,5,6,10,5,5,6,8,10,otolaryngology,Отоларинголог,0.4623
Виктор Лебедев #3229,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,84,92,1,7,8,0,5,8,8,10,8,9,4,7,6,8,neurology,Невролог,0.4759
Павел Громов #3230,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,84,89,85,9,7,3,3,10,8,5,7,5,4,7,10,6,8,surgery,Хирург,0.5614
Дмитрий Орлов #3231,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,84,88,5,7,7,4,6,8,8,10,7,6,8,7,3,8,neurology,Невролог,0.3444
Ирина Белова #3232,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,88,84,77,5,3,4,7,6,7,9,9,9,6,8,5,8,6,otolaryngology,Отоларинголог,0.3472
Татьяна Максимова #3233,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,91,79,88,5,7,10,1,5,8,10,8,7,7,6,6,4,7,neurology,Невролог,0.467
Кирилл Федоров #3234,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,88,86,86,4,2,4,10,8,5,8,9,8,6,8,7,8,10,otolaryngology,Отоларинголог,0.4703
Софья Романова #3235,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,88,98,4,10,5,1,7,9,10,9,9,5,5,10,6,6,cardiology,Кардиолог,0.5816
Ирина Белова #3236,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,85,85,81,5,2,6,8,7,8,7,6,8,3,7,3,10,6,otolaryngology,Отоларинголог,0.5094
Дмитрий Орлов #3237,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,91,78,94,6,8,5,3,9,8,9,8,7,9,5,9,7,6,cardiology,Кардиолог,0.4136
Ольга Демина #3238,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,81,78,78,3,5,6,8,6,4,9,5,8,6,5,2,10,9,otolaryngology,Отоларинголог,0.5326
Татьяна Максимова #3239,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,91,88,90,5,9,8,2,8,9,8,8,9,8,7,8,6,7,cardiology,Кардиолог,0.3872
Ольга Демина #3240,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,82,85,72,3,5,5,9,6,7,9,5,10,4,3,6,10,7,otolaryngology,Отоларинголог,0.5614
Михаил Соколов #3241,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,89,99,84,8,5,6,2,7,9,7,8,6,3,9,7,6,9,surgery,Хирург,0.4777
Виктор Лебедев #3242,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,83,92,5,7,8,0,3,9,9,9,8,9,5,5,5,10,neurology,Невролог,0.5114
Георгий Савельев #3243,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,82,88,88,8,3,5,0,8,7,4,8,6,3,9,10,6,9,surgery,Хирург,0.5826
Ирина Белова #3244,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,85,85,83,2,5,6,8,8,7,9,9,8,5,6,5,9,7,otolaryngology,Отоларинголог,0.4212
Алина Назарова #3245,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,93,83,96,6,10,7,2,8,7,6,9,10,7,5,6,5,10,cardiology,Кардиолог,0.3701
Георгий Савельев #3246,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,83,96,80,10,5,4,3,10,8,3,7,7,4,8,7,2,9,surgery,Хирург,0.6711
Никита Жуков #3247,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,91,79,89,0,5,10,4,7,8,7,9,7,8,7,6,7,7,neurology,Невролог,0.4925
Ирина Белова #3248,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,83,82,86,3,4,5,7,6,5,8,7,9,7,8,7,10,8,otolaryngology,Отоларинголог,0.4061
Алина Назарова #3249,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,97,78,84,3,10,8,1,8,10,6,8,8,7,8,6,3,8,cardiology,Кардиолог,0.3879
Ирина Белова #3250,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,86,88,87,3,3,6,9,10,7,7,8,10,7,4,3,10,7,otolaryngology,Отоларинголог,0.5478
Татьяна Максимова #3251,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,88,84,92,2,6,7,3,7,9,7,8,8,10,6,9,4,10,neurology,Невролог,0.4021
Павел Громов #3252,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,84,87,85,9,3,6,1,10,9,5,7,3,3,8,6,6,9,surgery,Хирург,0.6173
Софья Романова #3253,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,86,88,94,4,10,7,2,4,8,10,10,10,9,6,10,6,9,cardiology,Кардиолог,0.5047
Софья Романова #3254,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,94,82,89,6,8,5,3,6,7,10,9,10,5,6,7,6,7,cardiology,Кардиолог,0.4344
Татьяна Максимова #3255,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,95,77,88,4,7,8,4,8,6,8,9,7,8,5,8,4,8,neurology,Невролог,0.3944
Мария Тихонова #3256,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,84,90,78,5,3,7,7,8,5,7,7,8,6,6,3,9,6,otolaryngology,Отоларинголог,0.4204
Никита Жуков #3257,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,89,74,96,1,5,10,4,4,7,7,9,8,10,4,7,5,9,neurology,Невролог,0.5918
Софья Романова #3258,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,92,88,94,2,8,8,1,7,6,7,9,10,7,7,9,5,7,cardiology,Кардиолог,0.4209
Ольга Демина #3259,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,86,79,73,5,1,6,9,8,8,7,4,7,6,3,6,10,9,otolaryngology,Отоларинголог,0.5546
Павел Громов #3260,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,91,96,83,7,4,6,1,9,10,5,5,7,5,8,10,4,10,surgery,Хирург,0.5936
Георгий Савельев #3261,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,82,88,76,8,5,2,4,10,7,6,6,6,5,10,10,2,7,surgery,Хирург,0.6184
Кирилл Федоров #3262,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,85,88,80,7,2,3,8,9,7,6,6,9,6,5,7,8,7,otolaryngology,Отоларинголог,0.4326
Анна Котова #3263,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,87,95,85,7,5,5,2,8,9,7,8,8,4,8,9,4,7,surgery,Хирург,0.4283
Татьяна Максимова #3264,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,91,87,87,5,8,7,0,5,10,10,9,10,10,4,5,7,6,cardiology,Кардиолог,0.4177
Ирина Белова #3265,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,83,84,87,4,6,4,7,10,8,8,8,10,7,8,4,10,8,otolaryngology,Отоларинголог,0.4418
Дмитрий Орлов #3266,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,91,87,100,6,8,5,1,9,10,7,7,10,6,8,8,5,6,cardiology,Кардиолог,0.3962
Софья Романова #3267,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,88,85,2,10,7,4,6,8,8,9,8,5,6,9,7,6,cardiology,Кардиолог,0.4891
Алина Назарова #3268,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,93,85,92,2,7,5,3,8,9,10,9,9,9,7,7,6,6,cardiology,Кардиолог,0.4191
Софья Романова #3269,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,78,92,4,9,8,2,7,7,8,7,10,7,6,9,4,8,cardiology,Кардиолог,0.425
Елена Смирнова #3270,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,96,83,93,1,6,8,4,8,6,6,10,9,9,4,6,8,7,neurology,Невролог,0.4343
Елена Смирнова #3271,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,82,97,3,5,10,5,7,5,9,10,5,10,4,7,6,8,neurology,Невролог,0.563
Никита Жуков #3272,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,94,79,95,1,6,10,1,3,7,9,8,6,9,7,3,6,9,neurology,Невролог,0.6201
Анна Котова #3273,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,86,94,84,9,7,2,4,7,7,6,8,5,6,7,9,3,7,surgery,Хирург,0.4537
Мария Тихонова #3274,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,85,82,81,2,6,3,10,6,6,7,9,8,6,7,5,9,10,otolaryngology,Отоларинголог,0.4832
Георгий Савельев #3275,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,87,99,80,7,2,5,2,7,10,7,8,4,5,9,8,5,10,surgery,Хирург,0.5249
Татьяна Максимова #3276,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,95,84,93,6,7,10,3,6,9,7,10,10,9,7,6,4,9,neurology,Невролог,0.4929
Татьяна Максимова #3277,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,95,82,97,2,9,10,4,6,6,8,9,7,9,5,6,4,8,neurology,Невролог,0.4931
Анна Котова #3278,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,91,96,77,8,7,3,4,7,8,6,5,4,4,10,7,7,10,surgery,Хирург,0.5596
Михаил Соколов #3279,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,92,87,82,9,6,2,2,10,8,5,9,4,5,10,8,6,8,surgery,Хирург,0.6
Ирина Белова #3280,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,82,78,3,2,5,8,9,7,7,8,7,3,4,3,8,6,otolaryngology,Отоларинголог,0.4953
Ирина Белова #3281,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,83,91,78,3,2,4,9,8,8,8,6,7,3,4,3,8,8,otolaryngology,Отоларинголог,0.5821
Ольга Демина #3282,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,79,87,81,2,1,6,7,6,6,10,4,9,4,3,2,10,8,otolaryngology,Отоларинголог,0.605
Елена Смирнова #3283,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,95,74,89,1,5,10,4,6,5,10,10,8,8,3,5,8,7,neurology,Невролог,0.5459
Мария Тихонова #3284,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,84,88,77,4,2,7,7,9,6,9,5,9,2,5,6,9,10,otolaryngology,Отоларинголог,0.5328
Дмитрий Орлов #3285,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,93,86,95,5,7,5,2,9,6,7,8,8,6,8,7,5,9,cardiology,Кардиолог,0.2997
Виктор Лебедев #3286,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,79,89,1,7,9,3,7,6,8,8,5,7,4,3,6,9,neurology,Невролог,0.4968
Софья Романова #3287,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,93,77,89,2,9,8,3,7,9,10,8,7,5,5,9,3,6,cardiology,Кардиолог,0.4888
Анна Котова #3288,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,88,100,86,10,4,6,4,10,7,8,5,6,7,10,10,3,7,surgery,Хирург,0.6156
Алина Назарова #3289,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,89,83,92,3,9,8,2,6,6,9,8,10,6,7,8,5,7,cardiology,Кардиолог,0.4434
Никита Жуков #3290,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,89,79,98,1,8,7,1,7,9,5,9,9,9,4,5,8,8,neurology,Невролог,0.4044
Алина Назарова #3291,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,96,82,87,5,7,6,2,8,10,10,10,8,9,5,6,3,7,cardiology,Кардиолог,0.3835
Павел Громов #3292,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,84,98,85,9,7,5,4,9,7,7,6,3,6,7,9,5,9,surgery,Хирург,0.5206
Алина Назарова #3293,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,95,77,95,4,8,9,2,7,9,9,8,9,6,8,10,7,6,cardiology,Кардиолог,0.4261
Татьяна Максимова #3294,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,83,98,6,10,6,3,4,8,7,8,8,7,6,5,6,6,cardiology,Кардиолог,0.4595
Мария Тихонова #3295,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,83,79,83,1,4,4,7,8,4,10,6,9,2,7,6,9,9,otolaryngology,Отоларинголог,0.5388
Анна Котова #3296,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,88,90,78,7,5,4,4,10,9,7,7,4,4,8,6,5,7,surgery,Хирург,0.4891
Кирилл Федоров #3297,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,87,90,79,3,2,4,9,8,5,7,6,10,3,4,7,10,9,otolaryngology,Отоларинголог,0.6155
Виктор Лебедев #3298,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,87,83,96,5,6,10,3,4,7,6,10,7,9,5,4,7,8,neurology,Невролог,0.5685
Татьяна Максимова #3299,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,88,86,92,2,6,7,4,4,9,10,10,7,8,6,8,3,10,neurology,Невролог,0.4462
Никита Жуков #3300,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,94,79,91,4,8,9,5,7,6,8,10,5,9,3,6,4,7,neurology,Невролог,0.4739
Кирилл Федоров #3301,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,86,90,81,9,3,7,6,8,9,6,8,8,2,7,5,9,8,surgery,Хирург,0.3816
Елена Смирнова #3302,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,95,83,97,1,4,7,4,7,5,9,10,8,8,4,6,7,7,neurology,Невролог,0.4482
Павел Громов #3303,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,91,89,79,10,3,5,1,8,10,5,7,4,5,8,6,2,9,surgery,Хирург,0.6351
Елена Смирнова #3304,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,97,80,89,5,5,10,5,7,8,9,9,5,8,3,4,8,9,neurology,Невролог,0.5103
Ирина Белова #3305,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,83,86,88,5,2,7,10,8,7,7,6,10,3,4,6,9,8,otolaryngology,Отоларинголог,0.5645
Татьяна Максимова #3306,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,92,84,91,2,8,9,4,4,6,8,9,9,10,7,6,6,7,neurology,Невролог,0.4718
Елена Смирнова #3307,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,92,78,97,5,7,8,3,4,7,8,10,6,10,4,4,8,8,neurology,Невролог,0.5175
Георгий Савельев #3308,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,84,100,88,7,3,6,3,8,8,4,5,3,4,10,7,3,9,surgery,Хирург,0.6262
Никита Жуков #3309,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,91,82,88,3,8,7,4,6,8,7,9,8,9,4,5,6,9,neurology,Невролог,0.4112
Алина Назарова #3310,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,97,79,93,3,10,8,0,6,6,7,9,9,9,8,6,6,6,cardiology,Кардиолог,0.4413
Елена Смирнова #3311,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,96,77,90,3,7,7,1,6,6,10,8,7,10,6,4,5,7,neurology,Невролог,0.4675
Никита Жуков #3312,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,95,73,92,4,5,8,2,4,9,9,10,8,7,6,5,5,10,neurology,Невролог,0.5168
Ольга Демина #3313,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,79,83,80,6,3,2,7,9,8,8,6,9,4,3,2,8,10,otolaryngology,Отоларинголог,0.5327
Мария Тихонова #3314,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,80,85,75,4,6,4,10,10,7,8,9,7,2,6,4,8,6,otolaryngology,Отоларинголог,0.517
Софья Романова #3315,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,94,78,91,5,7,7,2,6,6,9,9,10,7,9,10,5,9,cardiology,Кардиолог,0.3789
Елена Смирнова #3316,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,85,88,1,7,8,3,4,7,10,9,7,10,7,4,6,7,neurology,Невролог,0.5024
Дмитрий Орлов #3317,5,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,91,81,92,6,10,5,4,6,10,7,7,7,6,6,10,3,6,cardiology,Кардиолог,0.5011
Георгий Савельев #3318,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,86,91,88,10,5,3,4,8,9,4,5,6,4,9,8,4,10,surgery,Хирург,0.6593
Кирилл Федоров #3319,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,85,89,79,4,3,6,7,7,6,9,6,8,3,6,5,10,9,otolaryngology,Отоларинголог,0.5076
Елена Смирнова #3320,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,97,79,94,1,7,7,5,5,7,8,9,8,8,3,8,8,8,neurology,Невролог,0.3704
Михаил Соколов #3321,3,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,86,96,85,10,6,6,4,9,7,4,9,8,3,7,7,6,8,surgery,Хирург,0.4856
Татьяна Максимова #3322,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,90,82,91,5,10,8,0,6,8,9,8,10,8,6,7,5,7,cardiology,Кардиолог,0.4605
Никита Жуков #3323,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,89,85,89,1,6,8,2,4,8,7,8,8,8,6,7,6,7,neurology,Невролог,0.4283
Татьяна Максимова #3324,6,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,92,79,86,3,10,8,2,7,10,10,7,9,9,4,7,6,6,cardiology,Кардиолог,0.4682
Виктор Лебедев #3325,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,89,84,87,2,5,8,1,5,7,6,8,5,9,6,5,4,7,neurology,Невролог,0.5056
Кирилл Федоров #3326,4,Синтетически сгенерированный профиль для учебной DevOps-демонстрации.,88,85,87,4,2,4,10,9,5,8,6,10,3,5,7,10,9,otolaryngology,Отоларинголог,0.6372
